"wave","EIrrad"
1361,0.372189019560995
1362,0.370062110943402
1363,0.363061234030834
1364,0.368222416172856
1365,0.366990234615084
1366,0.367008595322669
1367,0.3630057167158
1368,0.36697750620456
1369,0.359409771013745
1370,0.359028195881216
1371,0.359877803684287
1372,0.364675467638767
1373,0.363932789544224
1374,0.364032357703582
1375,0.358078846532747
1376,0.353865857477904
1377,0.358877763716218
1378,0.357058048506313
1379,0.362157068060689
1380,0.357928563773792
1381,0.359006033171964
1382,0.35389608089584
1383,0.355793672764887
1384,0.357574358775819
1385,0.353328244206301
1386,0.35698619691842
1387,0.352800269256684
1388,0.354403079060188
1389,0.356061191649178
1390,0.34912506381481
1391,0.354005146247546
1392,0.35298614270155
1393,0.350956228243697
1394,0.347747898640207
1395,0.348439274550534
1396,0.350887661360488
1397,0.349997072878813
1398,0.350003004403203
1399,0.348997479206307
1400,0.338848178446107
1401,0.34125348561961
1402,0.345914357585709
1403,0.342232554373899
1404,0.342357342588796
1405,0.341742525380645
1406,0.34246061293891
1407,0.342878282135371
1408,0.341140054981058
1409,0.342800206169732
1410,0.341100117119776
1411,0.340791957782429
1412,0.328386378237214
1413,0.333011773134219
1414,0.338139882464972
1415,0.336912823407174
1416,0.335108730607587
1417,0.337972074585024
1418,0.337209053136647
1419,0.332721548943458
1420,0.332097074761316
1421,0.335918096750101
1422,0.325691148441359
1423,0.326856395214549
1424,0.326176392699495
1425,0.330789798688449
1426,0.319729012880753
1427,0.325373072239987
1428,0.329517671410161
1429,0.322635680085367
1430,0.319981735804198
1431,0.322949661489722
1432,0.329906747716849
1433,0.330023935519928
1434,0.323212907334201
1435,0.325816391701844
1436,0.324832107172437
1437,0.327037964669679
1438,0.324884046996626
1439,0.327131480378223
1440,0.310853185165417
1441,0.315543898965318
1442,0.313338393486031
1443,0.316972177086382
1444,0.318557064593406
1445,0.317320091505201
1446,0.320223366092649
1447,0.316069035872312
1448,0.319995898759375
1449,0.319062018997262
1450,0.317422303543456
1451,0.31296723926653
1452,0.310778971196206
1453,0.31429712653152
1454,0.312497153056651
1455,0.310379343297789
1456,0.30899457426485
1457,0.312051249052826
1458,0.31499067531842
1459,0.317012340463164
1460,0.312302149948277
1461,0.311887597644165
1462,0.309034283542936
1463,0.306492247834116
1464,0.306860475720479
1465,0.310739145771614
1466,0.304053624006156
1467,0.3118831217628
1468,0.306000040687043
1469,0.309927796852746
1470,0.307425749040676
1471,0.301869304215396
1472,0.304067264482789
1473,0.30420203849482
1474,0.295298295983772
1475,0.30040430364625
1476,0.300893058678889
1477,0.299303927640876
1478,0.298931706427542
1479,0.301202005730431
1480,0.303916490692295
1481,0.299206721083388
1482,0.30206911249962
1483,0.29612595885604
1484,0.298822436233541
1485,0.303004097503628
1486,0.298211525677192
1487,0.297012758167647
1488,0.263424810571667
1489,0.297616355539661
1490,0.297841668662609
1491,0.299900103746096
1492,0.294634364914159
1493,0.30003043885844
1494,0.298976267472332
1495,0.296938840890144
1496,0.288506067939819
1497,0.293001886011744
1498,0.295458007318028
1499,0.292014386753005
1500,0.296597742728844
1501,0.295281444064401
1502,0.293771090133263
1503,0.267690400953578
1504,0.276466853868471
1505,0.267043935553738
1506,0.278554556777482
1507,0.290081666465059
1508,0.28722133638185
1509,0.284157577421434
1510,0.291016567732162
1511,0.29201104568516
1512,0.286149317322892
1513,0.285031574431607
1514,0.283001201495699
1515,0.287112458147589
1516,0.285204649587748
1517,0.28399999007831
1518,0.288147839441888
1519,0.284055280588859
1520,0.285943149771389
1521,0.280342105073814
1522,0.279372149910097
1523,0.284019438214566
1524,0.283280139136848
1525,0.278361891264528
1526,0.285031553192884
1527,0.281930200425049
1528,0.284123274208757
1529,0.2821873462438
1530,0.26795887017048
1531,0.281766522140849
1532,0.281413302754343
1533,0.278994058747551
1534,0.275900086359725
1535,0.276754116829053
1536,0.280123850788008
1537,0.279939660065713
1538,0.273989062808166
1539,0.278218097127124
1540,0.269098887029017
1541,0.272174211398979
1542,0.27407384415262
1543,0.274041505669524
1544,0.276721478997163
1545,0.277099609992383
1546,0.276275375217092
1547,0.271389748529445
1548,0.266111008110999
1549,0.272089630312913
1550,0.268677900943774
1551,0.269434781943924
1552,0.273169989757431
1553,0.26862205893769
1554,0.26399896814756
1555,0.266894779258598
1556,0.262644167343202
1557,0.268530509784174
1558,0.266398688213228
1559,0.26587933951477
1560,0.263881007357173
1561,0.268977450419053
1562,0.267094983312974
1563,0.264905251064372
1564,0.262007540790175
1565,0.265822506868143
1566,0.261958251048701
1567,0.261411034438371
1568,0.257954791786127
1569,0.259081329902804
1570,0.257640037908626
1571,0.264055497833531
1572,0.264279597552283
1573,0.260257732562662
1574,0.256553862824112
1575,0.241264258251822
1576,0.255996646628075
1577,0.236103869985215
1578,0.251565103318615
1579,0.256734723715002
1580,0.258938166720473
1581,0.259121744354526
1582,0.249106808047281
1583,0.252675058942961
1584,0.251211343135712
1585,0.257095278023432
1586,0.253132322576454
1587,0.25011190802768
1588,0.246002713723565
1589,0.228676118182024
1590,0.236260706952855
1591,0.237453777322257
1592,0.24887807560045
1593,0.253931643318965
1594,0.253399326445987
1595,0.25486267165051
1596,0.241887561749974
1597,0.245408787731178
1598,0.253956265786242
1599,0.248984253839797
1600,0.251
1601,0.244114890195287
1602,0.245967399417586
1603,0.246486879226779
1604,0.246993338013616
1605,0.244872367661786
1606,0.244494423744782
1607,0.242471691747344
1608,0.247922137791614
1609,0.246092901750551
1610,0.23252632313007
1611,0.238794734692471
1612,0.23957869731156
1613,0.2435931305213
1614,0.241973023262834
1615,0.241900261674862
1616,0.232014805846723
1617,0.235908657613284
1618,0.24251609324369
1619,0.241153218796237
1620,0.233505270817038
1621,0.233874483645859
1622,0.23784540259144
1623,0.242135756301254
1624,0.24238872432605
1625,0.237884071784749
1626,0.239002569965141
1627,0.240654502382754
1628,0.242001949612695
1629,0.241583339506987
1630,0.236975630234904
1631,0.238038127576347
1632,0.238141409973203
1633,0.235241216466964
1634,0.23295760365471
1635,0.236985910508014
1636,0.235988307544156
1637,0.22794546257876
1638,0.224035122556973
1639,0.219499895131301
1640,0.22458377653361
1641,0.222897565456508
1642,0.222860947116431
1643,0.227673219005633
1644,0.226028784975829
