"band1","band2","band3","band4","band5","band6","band7","band8","band9","band10","band11","band12","band13","band14","band15","band16","band17","band18","band19","band20"
0.000249298,4.4548e-05,3.8505e-06,5.16445e-05,0.0011106,7.42011e-05,0.944046,0.349541,1,0.908208,0.000107413,0.696252,0.948361,0.000381662,6.58054e-05,7.53979e-06,0.00152451,2.74307e-05,4.92774e-05,2.26747e-05
4.20915e-05,9.54709e-06,6.86956e-06,4.60503e-05,0.000498728,8.85944e-05,0.89756,0.150066,0.995637,0.933493,7.63989e-05,0.645743,0.905963,0.000388562,5.46356e-05,2.74524e-05,0.000319181,1.21914e-05,2.95309e-05,4.02761e-05
0.000149763,8.1968e-06,3.64577e-06,5.89013e-05,0.000498728,0.000107263,0.821835,0.0696377,0.982598,0.963159,8.303e-05,0.591333,0.747951,0.00040863,5.2859e-05,1.22833e-05,5.5252e-06,1.11755e-05,1.82773e-05,2.86142e-05
2.48978e-05,7.63402e-06,5.31586e-06,4.77628e-05,0.000721096,0.00014657,0.725226,0.0367187,0.952544,0.988785,0.000114591,0.533913,0.537965,0.000671076,3.85286e-05,2.79759e-05,2.91596e-06,1.42234e-05,2.63868e-05,1.37038e-05
6.80493e-06,6.83398e-06,5.64749e-06,5.57721e-05,0.000112995,0.000182415,0.624753,0.0197457,0.895022,1,0.000106094,0.473121,0.230191,0.00209956,3.72214e-05,1.48541e-05,3.99618e-06,1.21914e-05,2.7756e-05,2.58372e-05
6.22189e-06,1.54744e-05,1.07433e-05,2.8766e-05,0.000105469,0.00037556,0.507534,0.0101436,0.800844,0.995003,7.74469e-05,0.414233,0.133463,0.00106929,6.07422e-05,6.1256e-06,6.64552e-06,7.11168e-06,2.56512e-05,3.63063e-05
6.45575e-06,1.25572e-05,1.34136e-05,0.000138141,4.05822e-05,0.00102471,0.374478,0.00500915,0.677737,0.986899,0.000100684,0.356634,0.0674524,0.00076584,3.07485e-05,1.16464e-05,1.77208e-05,7.11168e-06,4.70949e-05,4.59983e-05
6.0737e-06,1.04052e-05,1.24661e-05,0.000156169,0.000374666,0.00382516,0.227633,0.00282929,0.538162,0.957158,0.000109653,0.303034,0.0508459,0.000187496,1.95703e-05,4.5454e-05,2.22961e-05,5.07977e-06,7.70314e-05,2.61046e-05
3.10739e-06,5.79596e-06,7.20409e-06,0.000185282,0.000532363,0.000156606,0.112904,0.00185772,0.39978,0.866557,0.000120549,0.254355,0.0368758,4.73735e-05,2.37639e-05,0.000118018,8.64532e-05,1.32074e-05,6.45791e-05,1.23168e-05
2.32666e-06,5.74101e-06,1.45594e-05,0.000344619,0.000527135,0.000110504,0.0547014,0.00139462,0.271567,0.710571,0.000127597,0.212296,0.03086,5.65643e-05,1.82318e-05,0.000364717,2.16474e-05,3.14946e-05,0.000103495,1.67582e-05
4.09432e-06,7.34271e-06,9.92958e-06,0.000710474,0.000537842,5.37612e-05,0.0295694,0.0012781,0.160349,0.523736,2.1384e-05,0.174954,0.022257,6.10929e-05,2.55406e-05,0.000180528,0.000340428,1.11755e-05,0.000146338,1.77416e-05
2.95469e-06,8.10043e-06,5.56616e-06,0.000564728,0.000508853,4.00252e-05,0.0176688,0.000675349,0.0801314,0.355433,2.87924e-05,0.143924,0.0170015,7.74616e-05,3.30624e-05,0.00150176,0.000133911,2.84467e-05,8.99508e-05,1.47573e-05
3.95956e-06,3.60833e-06,9.52984e-06,0.00103737,0.000707279,3.21375e-05,0.0115852,0.00058151,0.034489,0.22512,2.2613e-05,0.117809,0.00998963,7.67519e-05,3.36716e-05,0.000753347,0.000540097,1.0005e-05,4.54865e-05,1.58068e-05
1.36918e-06,1.28631e-05,5.23673e-06,0.000635217,0.000922151,2.21098e-05,0.0080226,0.000362182,0.0141569,0.135065,3.88982e-05,0.0964135,0.00775458,0.000139575,6.21392e-05,0.00267893,0.000258126,6.57447e-06,1.55822e-05,1.75383e-05
2.73576e-06,1.45779e-05,4.55834e-06,0.000606898,0.000880489,2.20303e-05,0.00570772,0.000423911,0.00514307,0.0778813,3.21664e-05,0.0786893,0.00477509,0.000131291,6.13539e-05,0.00206286,0.00234021,3.26117e-05,1.72391e-05,8.8131e-06
3.43042e-06,1.25382e-05,1.03136e-05,0.000850426,0.000869612,9.16303e-06,0.00415471,0.000381458,0.00181415,0.0456242,3.94173e-05,0.0641867,0.00550343,8.98821e-05,5.74085e-05,0.00876431,0.00142424,1.95435e-05,1.25835e-05,1.74161e-05
1.05146e-05,1.90334e-05,1.28527e-05,0.00197585,0.00105499,8.31537e-06,0.00296429,0.00045003,0.000328852,0.0289594,4.93827e-05,0.0525876,0.00352123,6.80811e-05,2.48613e-05,0.00453617,0.00013353,4.52706e-05,1.0852e-05,1.50126e-05
