"band1","band2","band3","band4","band5","band6","band7","band8","band9","band10","band11","band12","band13"
6.91660420548962e-310,0.117429222,6.91660420550543e-310,6.91660420551334e-310,6.91660420552124e-310,6.91660420552915e-310,6.91660420553705e-310,0.576654614,6.9166042055576e-310,6.91660420556551e-310,6.91660420557341e-310,0.996642174,0.956750259
6.91660420559713e-310,0.075138809,6.91660420561294e-310,6.91660420562084e-310,6.91660420562875e-310,6.91660420563665e-310,6.91660420564456e-310,0.572399696,6.91660420566037e-310,6.91660420566827e-310,6.91660420567618e-310,0.993293536,0.957986198
6.91660420569989e-310,0.050991983,6.9166042057157e-310,6.91660420572361e-310,6.91660420573151e-310,6.91660420573942e-310,6.91660420574732e-310,0.570992768,6.91660420576788e-310,6.91660420577578e-310,6.91660420578369e-310,0.989674029,0.959237259
6.9166042058074e-310,0.032154822,6.91660420582321e-310,6.91660420583112e-310,6.91660420583902e-310,6.91660420584693e-310,6.91660420585483e-310,0.569291451,6.91660420587064e-310,6.91660420587855e-310,6.91660420588645e-310,0.98579838,0.960451396
6.91660420591017e-310,0.015134166,6.91660420592598e-310,6.91660420593388e-310,6.91660420594179e-310,6.91660420594969e-310,6.91660420596234e-310,0.571025201,6.91660420597815e-310,6.91660420598606e-310,6.91660420599396e-310,0.982153372,0.96141302
6.91660420601768e-310,0.004477169,6.91660420603349e-310,6.91660420604139e-310,6.9166042060493e-310,6.9166042060572e-310,6.91660420606511e-310,0.570861066,6.91660420608092e-310,6.91660420608882e-310,6.91660420609673e-310,0.979817194,0.96264388
6.91660420612044e-310,6.91660420612835e-310,6.91660420613625e-310,6.91660420614416e-310,6.91660420615206e-310,6.91660420616471e-310,6.91660420617262e-310,0.572213154,6.91660420618843e-310,6.91660420619633e-310,6.91660420620424e-310,0.979473331,0.964122014
6.91660420622795e-310,6.91660420623586e-310,6.91660420624376e-310,6.91660420625167e-310,6.91660420625957e-310,6.91660420626748e-310,6.91660420627538e-310,0.575418141,6.91660420629119e-310,6.9166042062991e-310,6.916604206307e-310,0.980262857,0.963609737
6.91660420633072e-310,6.91660420633862e-310,6.91660420634653e-310,6.91660420635443e-310,6.91660420636708e-310,6.91660420637499e-310,6.91660420638289e-310,0.577804028,6.9166042063987e-310,6.91660420640661e-310,6.91660420641451e-310,0.982464858,0.963104517
6.91660420643823e-310,6.91660420644613e-310,6.91660420645404e-310,6.91660420646194e-310,6.91660420646985e-310,6.91660420647775e-310,6.91660420648566e-310,0.579603586,6.91660420650147e-310,6.91660420650937e-310,6.91660420651728e-310,0.986000509,0.962753979
6.91660420654099e-310,6.9166042065489e-310,6.9166042065568e-310,6.91660420656945e-310,6.91660420657736e-310,6.91660420658526e-310,6.91660420659317e-310,0.579294979,6.91660420660898e-310,6.91660420661688e-310,6.91660420662479e-310,0.989562258,0.961850624
6.9166042066485e-310,6.91660420665641e-310,6.91660420666431e-310,6.91660420667222e-310,6.91660420668012e-310,6.91660420668803e-310,6.91660420669593e-310,0.578302049,6.91660420671174e-310,6.91660420671965e-310,6.91660420672755e-310,0.991723341,0.960730243
6.91660420675127e-310,6.91660420675917e-310,6.91660420677182e-310,6.91660420677972e-310,6.91660420678763e-310,6.91660420679553e-310,6.91660420680344e-310,0.57565598,6.91660420681925e-310,6.91660420682715e-310,6.91660420683506e-310,0.992201372,0.959560745
6.91660420685877e-310,6.91660420686668e-310,6.91660420687458e-310,6.91660420688249e-310,6.9166042068904e-310,6.9166042068983e-310,6.91660420690621e-310,0.569721665,6.91660420692202e-310,6.91660420692992e-310,6.91660420693783e-310,0.98939229,0.958377188
6.91660420696154e-310,6.91660420697419e-310,6.91660420698209e-310,6.91660420699e-310,6.9166042069979e-310,6.91660420700581e-310,6.91660420701371e-310,0.561891364,6.91660420702952e-310,6.91660420703743e-310,6.91660420704533e-310,0.982102331,0.956972347
6.91660420706905e-310,6.91660420707695e-310,6.91660420708486e-310,6.91660420709276e-310,6.91660420710067e-310,6.91660420710857e-310,6.91660420711648e-310,0.556830745,6.91660420713229e-310,6.91660420714019e-310,6.9166042071481e-310,0.970157085,0.955119849
6.91660420717656e-310,6.91660420718446e-310,6.91660420719237e-310,6.91660420720027e-310,6.91660420720818e-310,6.91660420721608e-310,6.91660420722399e-310,0.549385012,6.9166042072398e-310,6.9166042072477e-310,6.91660420725561e-310,0.953186779,0.953076144
6.91660420727932e-310,6.91660420728723e-310,6.91660420729513e-310,6.91660420730304e-310,6.91660420731094e-310,6.91660420731885e-310,6.91660420732675e-310,0.545858439,6.91660420734256e-310,6.91660420735047e-310,6.91660420735837e-310,0.932369062,0.95406055
6.91660420738683e-310,6.91660420739474e-310,6.91660420740264e-310,6.91660420741055e-310,6.91660420741845e-310,6.91660420742636e-310,6.91660420743426e-310,0.542536249,6.91660420745007e-310,6.91660420745798e-310,6.91660420746588e-310,0.908001591,0.955176712
6.9166042074896e-310,6.9166042074975e-310,6.91660420750541e-310,6.91660420751331e-310,6.91660420752122e-310,6.91660420752912e-310,6.91660420753703e-310,0.541895109,6.91660420755284e-310,6.91660420756074e-310,6.91660420756865e-310,0.884086561,0.955719159
6.91660420759711e-310,6.91660420760501e-310,6.91660420761292e-310,6.91660420762082e-310,6.91660420762873e-310,6.91660420763663e-310,6.91660420764454e-310,0.539852497,6.91660420766035e-310,6.91660420766825e-310,6.91660420767616e-310,0.864271526,0.955674616
