"band1","band2","band3","band4","band5","band6","band7","band8","band9","band10","band11","band12","band13"
6.91660421774719e-310,0.0143395998,6.916604217763e-310,6.91660421777091e-310,6.91660421777881e-310,6.91660421778672e-310,6.91660421779462e-310,0.54568236,6.91660421781043e-310,6.91660421781834e-310,6.91660421782624e-310,0.997586172,0.901982966
6.91660421784996e-310,0.0026577875,6.91660421786577e-310,6.91660421787367e-310,6.91660421788158e-310,6.91660421788948e-310,6.91660421790213e-310,0.5395805166,6.91660421791794e-310,6.91660421792585e-310,6.91660421793375e-310,0.998568438,0.903423562
6.91660421795747e-310,0.0008182243,6.91660421797328e-310,6.91660421798118e-310,6.91660421798909e-310,6.91660421799699e-310,6.9166042180049e-310,0.535102151,6.91660421802071e-310,6.91660421802861e-310,6.91660421803652e-310,0.999327749,0.904312941
6.91660421806023e-310,6.91660421806814e-310,6.91660421807604e-310,6.91660421808395e-310,6.91660421809185e-310,6.9166042181045e-310,6.9166042181124e-310,0.5309367513,6.91660421812821e-310,6.91660421813612e-310,6.91660421814402e-310,0.999234469,0.905315323
6.91660421816774e-310,6.91660421817564e-310,6.91660421818355e-310,6.91660421819146e-310,6.91660421819936e-310,6.91660421820727e-310,6.91660421821517e-310,0.5301650849,6.91660421823098e-310,6.91660421823889e-310,6.91660421824679e-310,0.998803511,0.906446178
6.91660421827051e-310,6.91660421827841e-310,6.91660421828632e-310,6.91660421829422e-310,6.91660421830687e-310,6.91660421831477e-310,6.91660421832268e-310,0.52984662,6.91660421833849e-310,6.91660421834639e-310,6.9166042183543e-310,0.999110558,0.90809207
6.91660421837801e-310,6.91660421838592e-310,6.91660421839382e-310,6.91660421840173e-310,6.91660421840963e-310,6.91660421841754e-310,6.91660421842544e-310,0.5303668182,6.91660421844125e-310,6.91660421844916e-310,6.91660421845706e-310,0.999729529,0.910123185
6.91660421848078e-310,6.91660421848868e-310,6.91660421849659e-310,6.91660421850924e-310,6.91660421851714e-310,6.91660421852505e-310,6.91660421853295e-310,0.5321146283,6.91660421854876e-310,6.91660421855667e-310,6.91660421856457e-310,0.999744808,0.912949979
6.91660421858829e-310,6.91660421859619e-310,6.9166042186041e-310,6.916604218612e-310,6.91660421861991e-310,6.91660421862781e-310,6.91660421863572e-310,0.5327191797,6.91660421865153e-310,6.91660421865943e-310,6.91660421866734e-310,1,0.915584774
6.91660421869105e-310,6.91660421869896e-310,6.91660421871161e-310,6.91660421871951e-310,6.91660421872742e-310,6.91660421873532e-310,6.91660421874323e-310,0.5324680567,6.91660421875904e-310,6.91660421876694e-310,6.91660421877485e-310,0.999814319,0.918444254
6.91660421879856e-310,6.91660421880647e-310,6.91660421881437e-310,6.91660421882228e-310,6.91660421883018e-310,6.91660421883809e-310,6.91660421884599e-310,0.5333115799,6.9166042188618e-310,6.91660421886971e-310,6.91660421887761e-310,0.996693294,0.921302412
6.91660421890133e-310,6.91660421891398e-310,6.91660421892188e-310,6.91660421892979e-310,6.91660421893769e-310,6.9166042189456e-310,6.9166042189535e-310,0.5319277968,6.91660421896931e-310,6.91660421897722e-310,6.91660421898512e-310,0.991619643,0.924337167
6.91660421900884e-310,6.91660421901674e-310,6.91660421902465e-310,6.91660421903255e-310,6.91660421904046e-310,6.91660421904836e-310,6.91660421905627e-310,0.5305105522,6.91660421907208e-310,6.91660421907998e-310,6.91660421908789e-310,0.985701748,0.927218563
6.91660421911635e-310,6.91660421912425e-310,6.91660421913216e-310,6.91660421914006e-310,6.91660421914797e-310,6.91660421915587e-310,6.91660421916378e-310,0.52951499,6.91660421917959e-310,6.91660421918749e-310,6.9166042191954e-310,0.978569228,0.929740263
6.91660421921911e-310,6.91660421922702e-310,6.91660421923492e-310,6.91660421924283e-310,6.91660421925073e-310,6.91660421925864e-310,6.91660421926654e-310,0.5299684799,6.91660421928235e-310,6.91660421929026e-310,6.91660421929816e-310,0.969902949,0.931921865
6.91660421932662e-310,6.91660421933453e-310,6.91660421934243e-310,6.91660421935034e-310,6.91660421935824e-310,6.91660421936615e-310,6.91660421937405e-310,0.5325337254,6.91660421938986e-310,6.91660421939777e-310,6.91660421940567e-310,0.960896391,0.934142166
6.91660421942939e-310,6.91660421943729e-310,6.9166042194452e-310,6.9166042194531e-310,6.91660421946101e-310,6.91660421946891e-310,6.91660421947682e-310,0.5370508491,6.91660421949263e-310,6.91660421950053e-310,6.91660421950844e-310,0.953286699,0.935906112
6.91660421953689e-310,6.9166042195448e-310,6.9166042195527e-310,6.91660421956061e-310,6.91660421956851e-310,6.91660421957642e-310,6.91660421958432e-310,0.5423534419,6.91660421960013e-310,6.91660421960804e-310,6.91660421961595e-310,0.946546283,0.937086137
6.91660421963966e-310,6.91660421964757e-310,6.91660421965547e-310,6.91660421966338e-310,6.91660421967128e-310,6.91660421967919e-310,6.91660421968709e-310,0.5491249707,6.9166042197029e-310,6.91660421971081e-310,6.91660421972345e-310,0.941712152,0.937641167
6.91660421974717e-310,6.91660421975507e-310,6.91660421976298e-310,6.91660421977088e-310,6.91660421977879e-310,6.91660421978669e-310,6.9166042197946e-310,0.5552305507,6.91660421981041e-310,6.91660421981831e-310,6.91660421982622e-310,0.938586421,0.938301157
6.91660421984993e-310,6.91660421985784e-310,6.91660421986574e-310,6.91660421987365e-310,6.91660421988155e-310,6.91660421988946e-310,6.91660421989736e-310,0.5601113482,6.91660421991317e-310,6.91660421992582e-310,6.91660421993373e-310,0.935489328,0.937652085
6.91660421995744e-310,6.91660421996535e-310,6.91660421997325e-310,6.91660421998116e-310,6.91660421998906e-310,6.91660421999697e-310,6.91660422000487e-310,0.5576799877,6.91660422002068e-310,6.91660422002859e-310,6.91660422003649e-310,0.928113913,0.940440758
6.91660422006021e-310,6.91660422006811e-310,6.91660422007602e-310,6.91660422008392e-310,6.91660422009183e-310,6.91660422009973e-310,6.91660422010764e-310,0.5482198442,6.91660422012819e-310,6.9166042201361e-310,6.916604220144e-310,0.912102443,0.942517533
6.91660422016772e-310,6.91660422017562e-310,6.91660422018353e-310,6.91660422019143e-310,6.91660422019934e-310,6.91660422020724e-310,6.91660422021515e-310,0.5314461284,6.91660422023096e-310,6.91660422023886e-310,6.91660422024677e-310,0.88059783,0.943259037
6.91660422027048e-310,6.91660422027839e-310,6.91660422028629e-310,6.9166042202942e-310,6.9166042203021e-310,6.91660422031001e-310,6.91660422031791e-310,0.5076352847,6.91660422033847e-310,6.91660422034637e-310,6.91660422035428e-310,0.824980062,0.943031026
6.91660422037799e-310,6.9166042203859e-310,6.9166042203938e-310,6.91660422040171e-310,6.91660422040961e-310,6.91660422041752e-310,6.91660422042542e-310,0.4781122413,6.91660422044123e-310,6.91660422044914e-310,6.91660422045704e-310,0.743118017,0.942117106
6.91663209667476e-310,6.91663209667476e-310,4.66642394909091e-310,4.66642394909091e-310,6.91660423283556e-310,6.91660423283714e-310,6.91660423283872e-310,0.4509279291,6.91660423284188e-310,6.91660423284347e-310,6.91660423284505e-310,0.64189077,0.940631648
6.91660423284979e-310,6.91660423285137e-310,6.91660423285295e-310,6.91660423285453e-310,6.91660423285611e-310,6.91660423285769e-310,6.91660423285928e-310,0.4279846591,6.91660423286244e-310,6.91660423286402e-310,6.9166042328656e-310,0.534002282,0.938427922
6.91660423287034e-310,6.91660423287192e-310,6.91660423287667e-310,6.91660423287825e-310,6.91660423287983e-310,6.91660423288141e-310,6.91660423288299e-310,0.4105140504,6.91660423288615e-310,6.91660423288773e-310,6.91660423288932e-310,0.426963072,0.936660033
