"band1","band2","band3","band4","band5","band6","band7","band8","band9","band10","band11","band12","band13","band14","band15","band16","band17","band18","band19","band20","band21"
3.74625017229846e-07,7.17045736564614e-07,2.83464856920546e-07,5.72532670162218e-08,8.04376156793296e-08,5.7315780566114e-08,2.96408165922912e-06,1.43734596349532e-05,7.59605256916984e-07,7.61721878461685e-07,2.43622679363398e-07,1.4808017112955e-05,0.00168701226357371,2.40117117300542e-07,8.00407406131853e-07,1.71885881172784e-06,1.87559851383412e-06,1.87726845979341e-06,1.23665483897639e-06,8.97081520179199e-07,3.85925659429631e-07
6.30935574008618e-07,1.29389832181914e-06,4.80334222174861e-07,8.39483647041561e-08,1.22491130127855e-07,8.40160296888826e-08,6.03958733336185e-06,3.21412771882024e-05,1.35861694161576e-06,1.36239555104112e-06,5.42327200037107e-07,3.31146839016583e-05,0.00488068070262671,4.55489470141401e-07,1.44436069149378e-06,2.99907128464838e-06,3.25673772749724e-06,3.2630769055686e-06,2.18079458136344e-06,1.60373247126699e-06,6.48733760044706e-07
1.05377591808065e-06,2.30903492592915e-06,8.0729398632684e-07,1.22611027109087e-07,1.85636622518359e-07,1.2267453541881e-07,1.20911754493136e-05,7.00405944371596e-05,2.40529266193335e-06,2.41203292716818e-06,1.1813144737971e-06,7.21809483366087e-05,0.01290372479707,8.53081076002127e-07,2.57638566836249e-06,5.17646230946411e-06,5.59471845917869e-06,5.61146134714363e-06,3.80397568733315e-06,2.83544227386301e-06,1.08148606159375e-06
1.74533033714397e-06,4.07492234444362e-06,1.3457265595207e-06,1.78382350668471e-07,2.79985215456691e-07,1.78424272689881e-07,2.3777480237186e-05,0.000148644990986213,4.21469803768559e-06,4.22670927946456e-06,2.51764345193806e-06,0.000153254353790544,0.0310492888092995,1.57738918460382e-06,4.54243308922742e-06,8.83787106431555e-06,9.50820322032087e-06,9.54650658968603e-06,6.56288466416299e-06,4.95771655550925e-06,1.7879644929053e-06
2.86655836134742e-06,7.11115217200131e-06,2.22489097723155e-06,2.58511903439285e-07,4.20261983435921e-07,2.58500762129188e-07,4.59194379800465e-05,0.000307019363390282,7.30900228518294e-06,7.33034403310739e-06,5.24932738699135e-06,0.000316719524562359,0.0677134096622467,2.87942998511426e-06,7.91559705248801e-06,1.49244879139587e-05,1.59848459588829e-05,1.60657418746268e-05,1.11984581963043e-05,8.57214399729855e-06,2.93138009510585e-06
4.66862320536166e-06,1.22705014291569e-05,3.64815150533104e-06,3.73177414303427e-07,6.27791735041683e-07,3.73059577896129e-07,8.70640724315308e-05,0.000616698991507292,1.2542821423267e-05,1.2580576367327e-05,1.07063797258888e-05,0.000636595010291785,0.133328706026077,5.18884689881816e-06,1.36321632453473e-05,2.4925864636316e-05,2.65809994743904e-05,2.67428476945497e-05,1.88972917385399e-05,1.46559641507338e-05,4.7659109441156e-06
7.53951599108405e-06,2.09338759304956e-05,5.93242521063075e-06,5.36603693035431e-07,9.33296689709096e-07,5.36295146957855e-07,0.000162017502589151,0.00120374420657754,2.12971644941717e-05,2.13636412809137e-05,2.13577550312039e-05,0.00124342064373195,0.236332938075066,9.23006336961407e-06,2.32005386351375e-05,4.11682194680907e-05,4.37165908806492e-05,4.4028005504515e-05,3.15342731482815e-05,2.47753832809394e-05,7.68362951930612e-06
1.20727872854332e-05,3.53066861862317e-05,9.56673284235876e-06,7.68593395150674e-07,1.38079190037388e-06,7.67952599289856e-07,0.000295806094072759,0.00228141574189067,3.57747594534885e-05,3.58908364432864e-05,4.16657530877274e-05,0.00235816789790988,0.376602411270142,1.62063060997752e-05,3.901637319359e-05,6.72340538585559e-05,7.11032844264992e-05,7.16835711500607e-05,5.20316243637353e-05,4.14062888012268e-05,1.2283303476579e-05
1.91672133951215e-05,5.88619732297957e-05,1.52983047883026e-05,1.09658026303805e-06,2.032992824752e-06,1.09538450487889e-06,0.000529675802681595,0.00419507268816233,5.9441474149935e-05,5.9642487030942e-05,7.9477067629341e-05,0.00433880090713501,0.540116310119629,2.80852127616527e-05,6.48287896183319e-05,0.000108565014670603,0.000114354646939319,0.000115407623525243,8.48810304887593e-05,6.84079204802401e-05,1.94700369320344e-05
3.01697746181162e-05,9.69906250247732e-05,2.42571950366255e-05,1.55841109972243e-06,2.97876431432087e-06,1.55632017140306e-06,0.000929820933379233,0.00747827254235745,9.76748706307262e-05,9.80196782620624e-05,0.000148218969115987,0.00773835321888328,0.700607597827911,4.80345406685956e-05,0.000106419807707425,0.000173305568750948,0.000181840689037927,0.000183705822564662,0.000136886825202964,0.000111709094198886,3.0598330340581e-05
